epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,49,,0.9273331761360168,,,,,
0,99,,0.48280858993530273,,,,,
0,149,,0.6593189835548401,,,,,
0,199,,0.5786662697792053,,,,,
0,249,,0.6537494659423828,,,,,
0,299,,0.595336377620697,,,,,
0,349,,0.5159906148910522,,,,,
0,399,,0.8111259341239929,,,,,
0,449,,0.5256950855255127,,,,,
0,499,,0.5181607604026794,,,,,
0,549,,0.49651241302490234,,,,,
0,599,,0.528988778591156,,,,,
0,649,,0.4389285445213318,,,,,
0,699,,0.4330582022666931,,,,,
0,749,,0.5859895944595337,,,,,
0,799,,0.5103026032447815,,,,,
0,849,,0.5462723970413208,,,,,
0,899,,0.6017672419548035,,,,,
0,949,,0.5482704639434814,,,,,
0,999,,0.5579153895378113,,,,,
0,1049,,0.3975811302661896,,,,,
0,1099,,0.44423457980155945,,,,,
0,1149,,0.4773504436016083,,,,,
0,1199,,0.39617571234703064,,,,,
0,1249,,0.5523071885108948,,,,,
0,1299,,0.49983692169189453,,,,,
0,1349,,0.5330651998519897,,,,,
0,1399,,0.4392714500427246,,,,,
0,1449,,0.4318072199821472,,,,,
0,1499,,0.521740198135376,,,,,
0,1549,,0.44982093572616577,,,,,
0,1599,,0.6183720827102661,,,,,
0,1649,,0.5009734034538269,,,,,
0,1699,,0.45240041613578796,,,,,
0,1749,,0.5002304911613464,,,,,
0,1799,,0.5567023158073425,,,,,
0,1849,,0.4077746868133545,,,,,
0,1899,,0.5178338885307312,,,,,
0,1949,,0.4605438709259033,,,,,
0,1999,,0.48422035574913025,,,,,
0,2049,,0.4487157166004181,,,,,
0,2099,,0.5455504059791565,,,,,
0,2149,,0.5858772993087769,,,,,
0,2199,,0.43348583579063416,,,,,
0,2249,,0.42770057916641235,,,,,
0,2299,,0.440106064081192,,,,,
0,2349,,0.527795135974884,,,,,
0,2399,,0.5032792687416077,,,,,
0,2449,,0.5506131649017334,,,,,
0,2499,,0.5942347645759583,,,,,
0,2549,,0.51276034116745,,,,,
0,2599,,0.37379947304725647,,,,,
0,2649,,0.43472856283187866,,,,,
0,2699,,0.47754862904548645,,,,,
0,2749,,0.4004513919353485,,,,,
0,2799,,0.6085273027420044,,,,,
0,2849,,0.4986492097377777,,,,,
0,2899,,0.4665665328502655,,,,,
0,2949,,0.4636800289154053,,,,,
0,2999,,0.378357857465744,,,,,
0,3049,,0.4165852963924408,,,,,
0,3099,,0.3361939489841461,,,,,
0,3149,,0.39233383536338806,,,,,
0,3199,,0.35699722170829773,,,,,
0,3249,,0.34327539801597595,,,,,
0,3299,,0.46200376749038696,,,,,
0,3349,,0.36262184381484985,,,,,
0,3399,,0.3815653324127197,,,,,
0,3449,,0.3622811734676361,,,,,
0,3499,,0.3926708996295929,,,,,
0,3549,,0.3314133286476135,,,,,
0,3599,,0.33687591552734375,,,,,
0,3649,,0.3592352271080017,,,,,
0,3699,,0.3689973056316376,,,,,
0,3749,,0.3870922029018402,,,,,
0,3799,,0.4111739993095398,,,,,
0,3849,,0.3658599853515625,,,,,
0,3899,,0.36888638138771057,,,,,
0,3949,,0.3555333614349365,,,,,
0,3999,,0.4177091419696808,,,,,
0,4049,,0.3371622562408447,,,,,
0,4099,,0.3884375989437103,,,,,
0,4149,,0.33179971575737,,,,,
0,4199,,0.37181171774864197,,,,,
0,4249,,0.3870522081851959,,,,,
0,4299,,0.38551831245422363,,,,,
0,4349,,0.39786720275878906,,,,,
0,4399,,0.34116342663764954,,,,,
0,4449,,0.36854419112205505,,,,,
0,4499,,0.36402660608291626,,,,,
0,4549,,0.43610239028930664,,,,,
0,4599,,0.367335706949234,,,,,
0,4649,,0.3473656475543976,,,,,
0,4699,,0.3568572402000427,,,,,
0,4749,,0.3824256360530853,,,,,
0,4799,,0.40802451968193054,,,,,
0,4849,,0.3885011672973633,,,,,
0,4899,,0.3508548140525818,,,,,
0,4949,,0.39698490500450134,,,,,
0,4999,,0.4783269464969635,,,,,
0,5049,,0.4392685890197754,,,,,
0,5099,,0.32621854543685913,,,,,
0,5149,,0.3378438949584961,,,,,
0,5199,,0.3926134705543518,,,,,
0,5249,,0.4158708155155182,,,,,
0,5299,,0.5149824619293213,,,,,
0,5349,,0.3247455656528473,,,,,
0,5399,,0.3404980003833771,,,,,
0,5449,,0.4712463915348053,,,,,
0,5499,,0.35256311297416687,,,,,
0,5549,,0.3971334397792816,,,,,
0,5599,,0.3604153096675873,,,,,
0,5649,,0.3625907301902771,,,,,
0,5699,,0.40552693605422974,,,,,
0,5749,,0.3403075635433197,,,,,
0,5799,,0.46526017785072327,,,,,
0,5849,,0.41575124859809875,,,,,
0,5899,,0.5144274234771729,,,,,
0,5949,,0.32407262921333313,,,,,
0,5999,,0.44853681325912476,,,,,
0,6049,,0.38268521428108215,,,,,
0,6099,,0.37603408098220825,,,,,
0,6149,,0.38429126143455505,,,,,
0,6199,,0.5041409134864807,,,,,
0,6249,,0.3871573805809021,,,,,
0,6299,,0.42163795232772827,,,,,
0,6349,,0.41048377752304077,,,,,
0,6399,,0.403523713350296,,,,,
0,6449,,0.28625208139419556,,,,,
0,6499,,0.39363548159599304,,,,,
0,6549,,0.41867873072624207,,,,,
0,6599,,0.38481956720352173,,,,,
0,6649,,0.4503245949745178,,,,,
0,6699,,0.3372056484222412,,,,,
0,6749,,0.3807343542575836,,,,,
0,6799,,0.4076768457889557,,,,,
0,6849,,0.4214319586753845,,,,,
0,6899,,0.3257949650287628,,,,,
0,6949,,0.39520567655563354,,,,,
0,6999,,0.39559075236320496,,,,,
0,7049,,0.3240378797054291,,,,,
0,7099,,0.3730454444885254,,,,,
0,7149,,0.46225231885910034,,,,,
0,7199,,0.4223438799381256,,,,,
0,7249,,0.44400230050086975,,,,,
0,7299,,0.32304516434669495,,,,,
0,7349,,0.40451765060424805,,,,,
0,7399,,0.34920960664749146,,,,,
0,7449,,0.3573569655418396,,,,,
0,7499,,0.45620569586753845,,,,,
0,7549,,0.4386363923549652,,,,,
0,7599,,0.49825793504714966,,,,,
0,7649,,0.3578164875507355,,,,,
0,7699,,0.4588805139064789,,,,,
0,7749,,0.4638179838657379,,,,,
0,7799,,0.4283597469329834,,,,,
0,7849,,0.40992864966392517,,,,,
0,7899,,0.42118051648139954,,,,,
0,7949,,0.4519743323326111,,,,,
0,7999,,0.3900832235813141,,,,,
0,8049,,0.46111899614334106,,,,,
0,8099,,0.40249601006507874,,,,,
0,8149,,0.5058633089065552,,,,,
0,8199,,0.3958981931209564,,,,,
0,8249,,0.36025163531303406,,,,,
0,8299,,0.38246193528175354,,,,,
0,8349,,0.3793815076351166,,,,,
0,8399,,0.43666666746139526,,,,,
0,8449,,0.43867263197898865,,,,,
0,8499,,0.4310567080974579,,,,,
0,8549,,0.3707353174686432,,,,,
0,8599,,0.38877758383750916,,,,,
0,8649,,0.45372241735458374,,,,,
0,8699,,0.504062831401825,,,,,
0,8749,,0.3900153934955597,,,,,
0,8799,,0.38663360476493835,,,,,
0,8849,,0.3869730532169342,,,,,
0,8894,,,0.8183379769325256,10189623.0,1.8323993682861328,1.5858570337295532,0.479775071144104
0,8894,0.44441044330596924,,,,,,
1,8899,,0.4213778078556061,,,,,
1,8949,,0.4257752299308777,,,,,
1,8999,,0.33873921632766724,,,,,
1,9049,,0.40077468752861023,,,,,
1,9099,,0.35538312792778015,,,,,
1,9149,,0.32280057668685913,,,,,
1,9199,,0.40521812438964844,,,,,
1,9249,,0.4359249472618103,,,,,
1,9299,,0.4135371744632721,,,,,
1,9349,,0.4933595061302185,,,,,
1,9399,,0.4296760559082031,,,,,
1,9449,,0.49309056997299194,,,,,
1,9499,,0.36332422494888306,,,,,
1,9549,,0.48221468925476074,,,,,
1,9599,,0.4848715364933014,,,,,
1,9649,,0.49503257870674133,,,,,
1,9699,,0.41823309659957886,,,,,
1,9749,,0.43579331040382385,,,,,
1,9799,,0.4355469346046448,,,,,
1,9849,,0.4621536433696747,,,,,
1,9899,,0.3416641652584076,,,,,
1,9949,,0.5301426649093628,,,,,
1,9999,,0.3800818622112274,,,,,
1,10049,,0.5297755599021912,,,,,
1,10099,,0.39906755089759827,,,,,
1,10149,,0.5992764830589294,,,,,
1,10199,,0.6431325078010559,,,,,
1,10249,,0.4070350229740143,,,,,
1,10299,,0.5914404988288879,,,,,
1,10349,,0.380740225315094,,,,,
1,10399,,0.38037893176078796,,,,,
1,10449,,0.38903379440307617,,,,,
1,10499,,0.4110420048236847,,,,,
1,10549,,0.37353017926216125,,,,,
1,10599,,0.4215063452720642,,,,,
1,10649,,0.33516761660575867,,,,,
1,10699,,0.46515560150146484,,,,,
1,10749,,0.40601617097854614,,,,,
1,10799,,0.4752449691295624,,,,,
1,10849,,0.3673975467681885,,,,,
1,10899,,0.4475446343421936,,,,,
1,10949,,0.4985847473144531,,,,,
1,10999,,0.4327661991119385,,,,,
1,11049,,0.4489072859287262,,,,,
1,11099,,0.31311938166618347,,,,,
1,11149,,0.42672088742256165,,,,,
1,11199,,0.5241010785102844,,,,,
1,11249,,0.3931449353694916,,,,,
1,11299,,0.4936116337776184,,,,,
1,11349,,0.389455109834671,,,,,
1,11399,,0.43363818526268005,,,,,
1,11449,,0.5115997195243835,,,,,
1,11499,,0.36930719017982483,,,,,
1,11549,,0.312100350856781,,,,,
1,11599,,0.4222298264503479,,,,,
1,11649,,0.37494972348213196,,,,,
1,11699,,0.38855794072151184,,,,,
1,11749,,0.40367862582206726,,,,,
1,11799,,0.3618672788143158,,,,,
1,11849,,0.44348835945129395,,,,,
1,11899,,0.447916716337204,,,,,
1,11949,,0.49477580189704895,,,,,
1,11999,,0.5775941014289856,,,,,
1,12049,,0.557004988193512,,,,,
1,12099,,0.43961021304130554,,,,,
1,12149,,0.43047836422920227,,,,,
1,12199,,0.5443654656410217,,,,,
1,12249,,0.43681997060775757,,,,,
1,12299,,0.6229087710380554,,,,,
1,12349,,0.7366625666618347,,,,,
1,12399,,0.4551129639148712,,,,,
1,12449,,0.4996804893016815,,,,,
1,12499,,0.48091357946395874,,,,,
1,12549,,0.4579748511314392,,,,,
1,12599,,0.4805818200111389,,,,,
1,12649,,0.4154314398765564,,,,,
1,12699,,0.3608925938606262,,,,,
1,12749,,0.4812868535518646,,,,,
1,12799,,0.6313285231590271,,,,,
1,12849,,0.5601073503494263,,,,,
1,12899,,0.444853276014328,,,,,
1,12949,,0.46509623527526855,,,,,
1,12999,,0.46205100417137146,,,,,
1,13049,,0.4385910630226135,,,,,
1,13099,,0.3778096139431,,,,,
1,13149,,0.4399620592594147,,,,,
1,13199,,0.5412405133247375,,,,,
1,13249,,0.43751245737075806,,,,,
1,13299,,0.3999241888523102,,,,,
1,13349,,0.4918258786201477,,,,,
1,13399,,0.47506412863731384,,,,,
1,13449,,0.49655428528785706,,,,,
1,13499,,0.45831871032714844,,,,,
1,13549,,0.5027583837509155,,,,,
1,13599,,0.4475039839744568,,,,,
1,13649,,0.4404931664466858,,,,,
1,13699,,0.5899894833564758,,,,,
1,13749,,0.5485145449638367,,,,,
1,13799,,0.4034833014011383,,,,,
1,13849,,0.4233818054199219,,,,,
1,13899,,0.44157007336616516,,,,,
1,13949,,0.44442299008369446,,,,,
1,13999,,0.38032087683677673,,,,,
1,14049,,0.4041595160961151,,,,,
1,14099,,0.41894155740737915,,,,,
1,14149,,0.45740747451782227,,,,,
1,14199,,0.40517333149909973,,,,,
1,14249,,0.41869068145751953,,,,,
1,14299,,0.48790231347084045,,,,,
1,14349,,0.3774433732032776,,,,,
1,14399,,0.47775131464004517,,,,,
1,14449,,0.4857267439365387,,,,,
1,14499,,0.4658471643924713,,,,,
1,14549,,0.41766905784606934,,,,,
1,14599,,0.4404357075691223,,,,,
1,14649,,0.44573429226875305,,,,,
1,14699,,0.43316179513931274,,,,,
1,14749,,0.5633846521377563,,,,,
1,14799,,0.4343113899230957,,,,,
1,14849,,0.3259337544441223,,,,,
1,14899,,0.31331735849380493,,,,,
1,14949,,0.39397016167640686,,,,,
1,14999,,0.41719791293144226,,,,,
1,15049,,0.3584475517272949,,,,,
1,15099,,0.34923699498176575,,,,,
1,15149,,0.3343660235404968,,,,,
1,15199,,0.327017605304718,,,,,
1,15249,,0.3991055488586426,,,,,
1,15299,,0.40509265661239624,,,,,
1,15349,,0.35965538024902344,,,,,
1,15399,,0.33835750818252563,,,,,
1,15449,,0.3428182601928711,,,,,
1,15499,,0.4635658264160156,,,,,
1,15549,,0.3546890616416931,,,,,
1,15599,,0.33728060126304626,,,,,
1,15649,,0.4598538279533386,,,,,
1,15699,,0.4047006070613861,,,,,
1,15749,,0.4084934890270233,,,,,
1,15799,,0.36966246366500854,,,,,
1,15849,,0.45441415905952454,,,,,
1,15899,,0.3884396553039551,,,,,
1,15949,,0.31121858954429626,,,,,
1,15999,,0.4381124675273895,,,,,
1,16049,,0.35956472158432007,,,,,
1,16099,,0.33209773898124695,,,,,
1,16149,,0.3442975580692291,,,,,
1,16199,,0.4004766345024109,,,,,
1,16249,,0.33466508984565735,,,,,
1,16299,,0.3319811224937439,,,,,
1,16349,,0.38753780722618103,,,,,
1,16399,,0.40434932708740234,,,,,
1,16449,,0.4021187722682953,,,,,
1,16499,,0.3497922420501709,,,,,
1,16549,,0.341982901096344,,,,,
1,16599,,0.3373938500881195,,,,,
1,16649,,0.3600403964519501,,,,,
1,16699,,0.34546470642089844,,,,,
1,16749,,0.3804241120815277,,,,,
1,16799,,0.3375004231929779,,,,,
1,16849,,0.41814762353897095,,,,,
1,16899,,0.39034804701805115,,,,,
1,16949,,0.4761960506439209,,,,,
1,16999,,0.35250240564346313,,,,,
1,17049,,0.36961016058921814,,,,,
1,17099,,0.3958723545074463,,,,,
1,17149,,0.38900408148765564,,,,,
1,17199,,0.3540079891681671,,,,,
1,17249,,0.38835471868515015,,,,,
1,17299,,0.4758366048336029,,,,,
1,17349,,0.3189069330692291,,,,,
1,17399,,0.38180115818977356,,,,,
1,17449,,0.3943222463130951,,,,,
1,17499,,0.32977956533432007,,,,,
1,17549,,0.3504592478275299,,,,,
1,17599,,0.3818657100200653,,,,,
1,17649,,0.29594215750694275,,,,,
1,17699,,0.4409811198711395,,,,,
1,17749,,0.38485267758369446,,,,,
1,17789,,,0.8151258826255798,11820595.0,1.8061691522598267,1.5380048751831055,0.4601061940193176
1,17789,0.4173300862312317,,,,,,
